session_id,n_train,n_test,in_both
220112|yyn|knock|knock_04_single,29,4,True
220112|yyn|knock|knock_05_single,19,7,True
220112|yyn|knock|knock_06_single,34,12,True
220112|yyn|knock|knock_07_single,14,4,True
220112|yyn|knock|knock_08_single,31,4,True
220112|yyn|knock|knock_09_single,29,7,True
220113|jzy|dig|dig_01_single,28,7,True
220113|jzy|dig|dig_02_single,25,5,True
220113|jzy|dig|dig_03_single,21,10,True
220113|jzy|dig|dig_04_single,22,8,True
220113|jzy|dig|dig_05_single,31,3,True
220113|jzy|dig|dig_06_single,35,11,True
220113|jzy|dig|dig_07_single,22,8,True
220113|jzy|dig|dig_08_single,25,6,True
220113|jzy|dig|dig_09_single,25,4,True
220113|jzy|dig|dig_10_single,26,3,True
220113|jzy|water|water_01_single,4,0,False
220113|jzy|water|water_02_single,14,2,True
220113|jzy|water|water_03_single,32,7,True
220113|jzy|water|water_04_single,23,4,True
220113|jzy|water|water_05_single,30,8,True
220113|jzy|water|water_06_single,27,5,True
220113|jzy|water|water_07_single,32,4,True
220113|jzy|water|water_08_single,29,1,True
220113|jzy|water|water_09_single,29,13,True
220113|jzy|water|water_10_single,29,8,True
220115|cxm|water|water_02_single,8,3,True
220115|cxm|water|water_03_single,10,7,True
220115|cxm|water|water_04_single,20,2,True
220115|cxm|water|water_05_single,14,2,True
220115|cxm|water|water_06_single,6,3,True
220115|cxm|water|water_07_single,11,4,True
220115|cxm|water|water_08_single,14,3,True
220115|cxm|water|water_09_single,19,4,True
220115|cxm|water|water_10_single,18,6,True
220115|cxm|water|water_11_single,11,4,True
220115|cxm|water|water_12_single,15,9,True
220115|cxm|water|water_13_single,18,2,True
220115|cxm|water|water_14_single,22,3,True
220115|cxm|water|water_15_single,9,2,True
220115|cxm|water|water_16_single,18,3,True
220115|cxm|water|water_17_single,5,3,True
220115|cxm|water|water_18_single,17,7,True
220115|cxm|water|water_19_single,23,8,True
220115|cxm|water|water_20_single,17,9,True
220115|cxm|water|water_21_single,20,3,True
220115|cxm|water|water_22_single,24,4,True
220115|cxm|water|water_23_single,15,4,True
220115|cxm|water|water_24_single,15,12,True
220115|cxm|water|water_25_single,13,3,True
220115|cxm|water|water_26_single,16,4,True
220115|cxm|water|water_27_single,15,7,True
220115|cxm|water|water_28_single,22,2,True
220116|cxm|background|background_01_single,35,10,True
220116|cxm|background|background_02_single,38,5,True
220116|cxm|background|background_03_single,25,8,True
220116|cxm|background|background_04_single,17,4,True
220116|cxm|background|background_05_single,30,8,True
220116|cxm|background|background_06_single,79,18,True
220116|cxm|background|background_07_single,46,16,True
220116|cxm|background|background_08_single,50,12,True
220116|cxm|background|background_09_single,55,13,True
220116|cxm|background|background_10_single,49,13,True
220116|cxm|dig|dig_01_single,21,7,True
220116|cxm|dig|dig_02_single,36,4,True
220116|cxm|dig|dig_03_single,27,7,True
220116|cxm|dig|dig_04_single,31,7,True
220116|yu|dig|dig_01_single,32,8,True
220116|yu|shake|shake_01_single,11,4,True
220116|yu|shake|shake_02_single,20,6,True
220116|yu|shake|shake_03_single,30,10,True
220116|yu|shake|shake_04_single,25,5,True
220116|yu|shake|shake_05_single,28,6,True
220116|yu|shake|shake_06_single,28,9,True
220116|yu|shake|shake_07_single,28,9,True
220116|yu|shake|shake_08_single,26,7,True
220116|yu|shake|shake_09_single,31,6,True
220116|yu|shake|shake_10_single,31,4,True
220116|yu|shake|shake_11_single,25,9,True
220116|yu|shake|shake_12_single,26,8,True
220116|yu|shake|shake_13_single,28,7,True
220116|yu|shake|shake_14_single,28,9,True
220116|yu|shake|shake_15_single,32,4,True
220116|yu|shake|shake_16_single,26,9,True
220116|yu|shake|shake_17_single,24,11,True
220116|yu|shake|shake_18_single,31,5,True
220116|yu|shake|shake_19_single,30,6,True
220116|yu|shake|shake_20_single,26,11,True
220116|yu|shake|shake_21_single,27,9,True
220116|yu|shake|shake_22_single,28,7,True
220116|yu|shake|shake_23_single,26,9,True
220116|yu|shake|shake_24_single,29,7,True
220116|yu|shake|shake_25_single,29,6,True
220116|yu|shake|shake_26_single,27,10,True
220116|yu|shake|shake_27_single,31,4,True
220116|yu|shake|shake_28_single,25,8,True
220116|yu|shake|shake_29_single,24,13,True
220116|yu|shake|shake_30_single,27,8,True
220116|yu|shake|shake_31_single,30,6,True
220116|yu|shake|shake_32_single,33,3,True
220116|yu|shake|shake_33_single,25,10,True
220116|yu|shake|shake_34_single,30,5,True
220116|yu|shake|shake_35_single,30,5,True
220116|yu|shake|shake_36_single,28,7,True
220116|yu|shake|shake_37_single,31,5,True
220116|yu|shake|shake_38_single,28,5,True
220116|yu|shake|shake_39_single,32,3,True
220116|yu|shake|shake_40_single,27,8,True
220116|yu|shake|shake_42_single,29,6,True
220117|cxm|background|background_01_single,34,7,True
220117|cxm|background|background_02_single,50,11,True
220117|cxm|background|background_03_single,50,12,True
220117|cxm|background|background_04_single,49,12,True
220117|cxm|background|background_05_single,34,6,True
220117|cxm|background|background_06_single,39,13,True
220117|cxm|background|background_07_single,49,8,True
220117|cxm|background|background_08_single,41,11,True
220117|cxm|background|background_09_single,40,10,True
220117|cxm|background|background_10_single,33,10,True
220117|cxm|background|background_11_single,15,5,True
220117|cxm|background|background_12_single,30,3,True
220117|cxm|background|background_13_single,10,0,False
220117|cxm|background|background_14_single,26,9,True
220117|cxm|background|background_15_single,1,0,False
220117|cxm|water|water_01_single,24,5,True
220117|cxm|water|water_02_single,20,7,True
220117|cxm|water|water_03_single,15,9,True
220117|cxm|water|water_04_single,15,5,True
220117|cxm|water|water_05_single,24,3,True
220117|cxm|water|water_06_single,20,5,True
220117|cxm|water|water_07_single,21,6,True
220117|cxm|water|water_08_single,23,3,True
220117|cxm|water|water_09_single,14,6,True
220117|cxm|water|water_10_single,22,5,True
220117|cxm|water|water_11_single,20,6,True
220117|cxm|water|water_12_single,19,6,True
220117|cxm|water|water_13_single,23,5,True
220117|cxm|water|water_14_single,11,6,True
220117|dy|dig|dig_01_single,32,7,True
220117|dy|dig|dig_02_single,28,9,True
220117|dy|dig|dig_03_single,29,9,True
220117|dy|dig|dig_04_single,28,7,True
220117|dy|dig|dig_05_single,28,11,True
220117|dy|dig|dig_06_single,31,8,True
220117|dy|dig|dig_07_single,32,6,True
220117|dy|dig|dig_08_single,33,7,True
220117|dy|dig|dig_09_single,32,6,True
220117|dy|dig|dig_10_single,31,8,True
220117|dy|dig|dig_11_single,22,9,True
220117|dy|dig|dig_12_single,23,6,True
220117|dy|dig|dig_13_single,23,8,True
220117|dy|dig|dig_14_single,26,13,True
220117|dy|dig|dig_15_single,30,4,True
220117|dy|knock|knock_01_single,35,10,True
220117|dy|knock|knock_02_single,23,2,True
220117|dy|knock|knock_03_single,24,3,True
220117|dy|knock|knock_04_single,28,10,True
220117|dy|knock|knock_05_single,30,9,True
220117|yzs|walk|run_03_single,1,0,False
220117|yzs|walk|walk_02_single,1,1,True
220117|yzs|walk|walk_03_single,1,0,False
220118|cxm|walk|run_07_single,24,6,True
220118|cxm|walk|run_08_single,30,6,True
220118|cxm|walk|run_09_single,36,11,True
220118|cxm|walk|run_10_single,32,10,True
220118|cxm|walk|walk_01_single,27,14,True
220118|cxm|walk|walk_02_single,29,5,True
220118|cxm|walk|walk_03_single,27,5,True
220118|cxm|walk|walk_04_single,39,9,True
220118|cxm|walk|walk_05_single,33,11,True
220118|cxm|walk|walk_06_single,28,8,True
220118|yu|walk|run_08_single,24,6,True
220118|yu|walk|run_09_single,24,10,True
220118|yu|walk|run_10_single,25,6,True
220118|yu|walk|walk_01_single,34,13,True
220118|yu|walk|walk_02_single,35,10,True
220118|yu|walk|walk_03_single,43,7,True
220118|yu|walk|walk_04_single,41,9,True
220118|yu|walk|walk_05_single,32,7,True
220118|yu|walk|walk_06_single,37,4,True
220118|yu|walk|walk_07_single,30,9,True
220118|yu|walk|walk_short_01_single,32,6,True
220118|yzs|walk|run_08_single,20,5,True
220118|yzs|walk|run_09_single,13,2,True
220118|yzs|walk|walk_01_single,21,6,True
220118|yzs|walk|walk_02_single,24,11,True
220118|yzs|walk|walk_03_single,27,8,True
220118|yzs|walk|walk_04_single,19,2,True
220118|yzs|walk|walk_05_single,15,5,True
220118|yzs|walk|walk_06_single,12,1,True
220118|yzs|walk|walk_07_single,17,3,True
220118|yzs|walk|walk_10_single,14,2,True
220121|cxm|background|background_01_single,87,25,True
220121|cxm|background|background_02_single,71,26,True
220121|cxm|background|background_03_single,89,23,True
220121|cxm|background|background_04_single,83,19,True
220121|cxm|background|background_05_single,89,22,True
220121|cxm|dig|dig_01_single,37,13,True
220121|cxm|dig|dig_02_single,41,6,True
220121|cxm|dig|dig_03_single,32,11,True
220121|cxm|dig|dig_04_single,40,9,True
220121|cxm|dig|dig_05_single,41,7,True
220121|cxm|dig|dig_06_single,40,9,True
220121|cxm|dig|dig_07_single,41,9,True
220121|cxm|dig|dig_08_single,34,8,True
220122|cxm|knock|knock_01_single,76,20,True
220122|cxm|knock|knock_02_single,79,20,True
220122|cxm|knock|knock_03_single,83,16,True
220122|cxm|knock|knock_04_single,74,22,True
220122|cxm|knock|knock_05_single,78,23,True
220122|cxm|knock|knock_06_single,76,23,True
220122|cxm|knock|knock_07_single,82,17,True
220122|cxm|knock|knock_08_single,87,25,True
220122|cxm|walk|run_09_single,46,11,True
220122|cxm|walk|run_10_single,41,12,True
220122|cxm|walk|run_11_single,45,8,True
220122|cxm|walk|run_12_single,43,11,True
220122|cxm|walk|walk_01_single,62,13,True
220122|cxm|walk|walk_02_single,61,13,True
220122|cxm|walk|walk_03_single,54,20,True
220122|cxm|walk|walk_04_single,56,17,True
220122|cxm|walk|walk_05_single,53,16,True
220122|cxm|walk|walk_06_single,50,16,True
220122|cxm|walk|walk_07_single,57,11,True
220122|cxm|walk|walk_08_single,59,10,True
220122|cxm|water|water_01_single,12,6,True
220122|cxm|water|water_02_single,23,2,True
220122|cxm|water|water_03_single,21,5,True
220122|cxm|water|water_04_single,18,4,True
220122|cxm|water|water_05_single,19,4,True
220122|cxm|water|water_06_single,19,6,True
220122|cxm|water|water_07_single,17,3,True
220122|cxm|water|water_08_single,16,6,True
220122|yu|shake|shake_01_single,38,9,True
220122|yu|shake|shake_02_single,41,9,True
220122|yu|shake|shake_03_single,52,10,True
220122|yu|shake|shake_04_single,48,14,True
220122|yu|shake|shake_05_single,45,16,True
220122|yu|shake|shake_06_single,52,11,True
220122|yyn|shake|shake_01_single,27,10,True
220122|yyn|shake|shake_02_single,40,8,True
220122|yyn|shake|shake_03_single,38,12,True
220122|yyn|shake|shake_04_single,40,11,True
220402|sys|water|water_01_single,16,3,True
220402|sys|water|water_02_single,14,1,True
220402|sys|water|water_03_single,31,9,True
220402|sys|water|water_04_single,31,8,True
220414|sys|water|water_01_single,20,1,True
220415|sys|water|water_01_single,28,7,True
220415|sys|water|water_02_single,27,8,True
220415|sys|water|water_03_single,22,9,True
220415|sys|water|water_04_single,15,4,True
220415|sys|water|water_05_single,28,9,True
220415|sys|water|water_06_single,31,3,True
220415|sys|water|water_07_single,20,4,True
220415|sys|water|water_08_single,20,3,True
220415|sys|water|water_09_single,30,4,True
220415|sys|water|water_10_single,18,1,True
220415|sys|water|water_11_single,11,2,True
220415|sys|water|water_12_single,3,0,False
220418|sys|dig|dig_01_single,10,4,True
220418|sys|dig|dig_02_single,13,0,False
220418|sys|water|water_01_single,8,2,True
220418|sys|water|water_02_single,6,0,False
220428|dig|dig|01_single,22,6,True
220428|dig|dig|02_single,37,13,True
220428|dig|dig|03_single,52,13,True
220428|dig|dig|04_single,37,8,True
220428|dig|dig|05_single,47,13,True
220428|dig|dig|06_single,36,9,True
220428|dig|dig|07_single,83,23,True
220429|water|water|01_single,3,6,True
220429|water|water|03_single,2,1,True
220429|water|water|05_single,18,4,True
220429|water|water|07_single,2,1,True
220429|water|water|11_single,7,1,True
220429|water|water|13_single,13,0,False
220509|bkg|background|01_single,17,6,True
220509|bkg|background|02_single,15,6,True
220509|bkg|background|03_single,19,2,True
220509|bkg|background|04_walk30s_single,18,4,True
220509|bkg|background|05_walk40s_single,19,1,True
220509|bkg|background|06_walk40s_single,20,3,True
220509|bkg|background|07_walk60s_single,24,3,True
220509|bkg|background|08_walk50s_single,17,3,True
220509|bkg|background|09_single,16,5,True
220509|bkg|background|10_single,20,4,True
220509|bkg|background|11_single,18,3,True
220509|bkg|background|12_single,11,2,True
220509|bkg|background|13_heavy_steps_50cm_away_single,10,2,True
220509|bkg|background|14_heavy_steps_50cm_away_single,12,1,True
220509|bkg|background|15_heavy_steps_50cm_away_single,24,4,True
220509|bkg|background|16_heavy_steps_50cm_away_single,23,4,True
220509|water|water|14_normal_single,5,0,False
220509|water|water|17_fast_single,2,1,True
220509|water|water|18_fast_single,3,1,True
220509|water|water|19_fast_single,3,1,True
220509|water|water|20_fast_single,6,0,False
220509|water|water|21_slow_single,0,1,False
220517|bkg|background|evening_17_single,31,8,True
220517|bkg|background|evening_18_single,61,15,True
220517|bkg|background|evening_19_single,54,18,True
220517|bkg|background|evening_20_single,55,17,True
220517|bkg|background|evening_21_single,71,12,True
220517|bkg|background|evening_22_single,77,22,True
220517|bkg|background|evening_23_single,54,15,True
220517|digging|dig|fast1_single,17,1,True
220517|digging|dig|fast2_single,11,3,True
220517|digging|dig|fast3_single,32,9,True
220517|digging|dig|fast4_single,16,4,True
220517|digging|dig|median1_single,18,4,True
220517|digging|dig|median2_single,20,2,True
220517|digging|dig|median3_single,25,3,True
220517|digging|dig|median4_single,30,2,True
220517|digging|dig|slow1_single,34,4,True
220517|digging|dig|slow3_single,32,12,True
220517|digging|dig|slow4_single,29,5,True
220517|knocking|knock|center_fast1_single,7,3,True
220517|knocking|knock|center_fast2_single,12,0,False
220517|knocking|knock|center_median1_single,13,3,True
220517|knocking|knock|center_median2_single,18,2,True
220517|knocking|knock|center_slow1_single,20,5,True
220517|knocking|knock|center_slow2_single,22,6,True
220517|knocking|knock|edge_fast1_single,7,2,True
220517|knocking|knock|edge_fast2_single,10,0,False
220517|knocking|knock|edge_median1_single,9,4,True
220517|knocking|knock|edge_median2_single,13,3,True
220517|knocking|knock|edge_slow1_single,17,3,True
220517|knocking|knock|edge_slow2_single,21,3,True
220517|knocking|knock|fiber_fast1_single,11,1,True
220517|knocking|knock|fiber_median1_single,9,5,True
220517|knocking|knock|fiber_slow1_single,18,5,True
220517|shaking|shake|1down_single,56,15,True
220517|shaking|shake|1up_single,58,13,True
220517|shaking|shake|2down_single,60,12,True
220517|shaking|shake|2up_single,60,12,True
220517|shaking|shake|3down_single,59,13,True
220517|shaking|shake|3up_single,59,15,True
220517|shaking|shake|4down_single,59,13,True
220517|shaking|shake|4up_single,61,11,True
220517|shaking|shake|5down_single,55,16,True
220517|shaking|shake|5up_single,57,15,True
220517|shaking|shake|test2_single,19,4,True
220517|shaking|shake|test3_single,28,8,True
220518|knocking|knock|center_fast_single,56,16,True
220518|knocking|knock|center_slow_single,62,13,True
220518|knocking|knock|edge_fast_single,59,16,True
220518|knocking|knock|edge_slow1_single,62,12,True
220518|knocking|knock|edge_slow_single,19,4,True
220518|knocking|knock|fiber_fast_single,63,17,True
220518|knocking|knock|fiber_slow_single,61,18,True
220518|water|water|fast10_single,8,3,True
220518|water|water|fast11_single,12,0,False
220518|water|water|fast12_single,6,4,True
220518|water|water|fast13_single,5,5,True
220518|water|water|fast14_single,10,1,True
220518|water|water|fast15_single,10,3,True
220518|water|water|fast16_single,9,1,True
220518|water|water|fast1_single,5,3,True
220518|water|water|fast9_single,8,3,True
220518|water|water|median10_single,10,2,True
220518|water|water|median11_single,9,3,True
220518|water|water|median12_single,8,3,True
220518|water|water|median13_single,10,1,True
220518|water|water|median14_single,10,2,True
220518|water|water|median15_single,8,3,True
220518|water|water|median16_single,11,1,True
220518|water|water|median9_single,8,2,True
220518|water|water|slow10_single,8,2,True
220518|water|water|slow11_single,7,3,True
220518|water|water|slow12_single,10,0,False
220518|water|water|slow13_single,9,0,False
220518|water|water|slow14_single,9,2,True
220518|water|water|slow15_single,10,1,True
220518|water|water|slow16_single,9,2,True
220518|water|water|slow2_single,9,2,True
220518|water|water|slow3_single,9,1,True
220518|water|water|slow4_single,10,2,True
220518|water|water|slow5_single,9,3,True
220518|water|water|slow6_single,11,1,True
220518|water|water|slow7_single,6,5,True
220518|water|water|slow8_single,9,1,True
220518|water|water|slow9_single,7,3,True
220519|walk|walk|fast1_single,46,17,True
220519|walk|walk|fast2_single,30,8,True
220519|walk|walk|median1_single,37,13,True
220519|walk|walk|median2_single,28,6,True
220519|walk|walk|run1_single,48,12,True
220519|walk|walk|run2_single,39,8,True
220519|walk|walk|runfast1_single,53,16,True
220519|walk|walk|runfast2_single,59,8,True
220519|walk|walk|singlefoot_median1_single,31,5,True
220519|walk|walk|singlefoot_median2_single,38,6,True
220519|walk|walk|slow1_single,43,10,True
220519|walk|walk|slow2_single,34,5,True
